current_name,statlog_field,statlog_description,statlog_type,south_field,south_description,south_type,current_stage3_type,semantic_disagreement,recommended_semantic_type,recommended_logistic_encoding,recommended_tree_encoding,stage3_preprocessing_should_change,audit_note
checking_account_status,Attribute1,Status of existing checking account,Categorical,status,Status of the debtor's checking account with the bank,Categorical,nominal categorical,clarification,nominal categorical,one-hot,categorical or one-hot,no,Special no-account category should remain substantive.
duration_months,Attribute2,Duration in months,Numerical integer,duration,Credit duration in months,Quantitative,numerical,no,quantitative continuous/discrete,standardize,quantitative,no,Meanings agree.
credit_history,Attribute3,Credit history,Qualitative,credit_history,History of compliance with previous or concurrent credit contracts,Categorical,nominal categorical,clarification,nominal categorical,one-hot,categorical or one-hot,no,Corrected source clarifies compliance and concurrent contracts; exact code mapping requires the UCI attachment.
purpose,Attribute4,Purpose,Qualitative,purpose,Purpose for which the credit is needed,Categorical,nominal categorical,no,nominal categorical,one-hot,categorical or one-hot,no,Meanings agree at the feature level.
credit_amount,Attribute5,Credit amount,Numerical,amount,Credit amount in DM; result of an unknown monotonic transformation,Quantitative,numerical,yes,quantitative transformed amount,standardize,quantitative,no,Unit and unknown monotonic transformation must be documented; values are not necessarily original DM amounts.
savings_account_status,Attribute6,Savings account or bonds,Qualitative,savings,Debtor's savings,Categorical,nominal categorical,clarification,nominal categorical,one-hot,categorical or one-hot,no,Special unknown or no-savings category remains substantive.
employment_duration,Attribute7,Present employment since,Qualitative,employment_duration,Duration with current employer,Ordinal; discretized quantitative,ordinal categorical,yes,ordinal/discretized quantitative,one-hot for baseline LR; ordered encoding only with explicit nonlinearity review,ordered categorical or one-hot,yes,Current ordinal encoder imposes equal-step linearity in Logistic Regression.
installment_rate_percent,Attribute8,Installment rate as percentage of disposable income,Numerical integer,installment_rate,Credit installments as a percentage of disposable income,Ordinal; discretized quantitative,numerical,yes,ordinal/discretized quantitative,one-hot for baseline LR,ordered categorical or one-hot,yes,Observed integers are category codes or bands rather than measured percentages.
personal_status_sex,Attribute9,Personal status and sex,Qualitative,personal_status_sex,Combined sex and marital-status information; sex cannot be recovered cleanly,Categorical compound,audit only nominal,major,compound nominal audit attribute,retain raw categories for audit only,retain raw categories for audit only,no_predictive_change,Code 2 combines male singles and female non-singles; female widows are not clearly classified.
other_debtors_guarantors,Attribute10,Other debtors or guarantors,Qualitative,other_debtors,Whether another debtor or guarantor exists,Categorical,nominal categorical,clarification,nominal categorical,one-hot,categorical or one-hot,no,Meanings agree materially.
residence_duration,Attribute11,Present residence since,Numerical,present_residence,Years at present residence,Ordinal; discretized quantitative,numerical,yes,ordinal/discretized quantitative,one-hot for baseline LR,ordered categorical or one-hot,yes,Current scaling assumes numeric spacing that corrected documentation does not support.
property,Attribute12,Property,Qualitative,property,Most valuable property; highest possible code is used,Ordinal,nominal categorical,yes,ordinal categorical,one-hot,ordered categorical or one-hot,no,Current one-hot treatment is conservative; dictionary meaning should add the maximum-property rule.
age_years,Attribute13,Age in years,Numerical,age,Age in years,Quantitative,audit only numerical,no,quantitative,audit only,audit only,no_predictive_change,Direct audit attribute remains excluded from prediction.
other_installment_plans,Attribute14,Other installment plans,Qualitative,other_installment_plans,Installment plans from providers other than the lending bank,Categorical,nominal categorical,clarification,nominal categorical,one-hot,categorical or one-hot,no,Corrected source clarifies that the plans are external to the lending bank.
housing,Attribute15,Housing,Qualitative,housing,Type of housing in which the debtor lives,Categorical,nominal categorical,no,nominal categorical,one-hot,categorical or one-hot,no,Meanings agree materially.
existing_credits_count,Attribute16,Number of existing credits at this bank,Numerical,number_credits,Number of credits including the current one that the debtor has or had at this bank,Ordinal; discretized quantitative,numerical,major,ordinal/discretized quantitative,one-hot for baseline LR,ordered categorical or one-hot,yes,Not an exact count; includes current and possibly past credits and original values are unavailable.
job,Attribute17,Job,Qualitative,job,Quality of the debtor's job,Ordinal,ordinal categorical,clarification,ordinal categorical,one-hot for baseline LR; ordered encoding is a sensitivity option,ordered categorical or one-hot,yes,Order is supported but equal-step linearity in Logistic Regression is not established.
dependents_count,Attribute18,Number of persons entitled to maintenance,Numerical,people_liable,Number of persons financially dependent on the debtor,Binary; discretized quantitative,numerical,yes,binary/discretized quantitative,binary one-hot or indicator,binary categorical or indicator,yes,Not a general quantitative count despite integer storage.
telephone,Attribute19,Telephone,Qualitative,telephone,Landline registered in the debtor's name; data are from the 1970s,Binary categorical,nominal categorical,clarification,binary categorical,one-hot,binary categorical,no,Historical landline context strengthens proxy and transportability concerns.
foreign_worker,Attribute20,Foreign worker,Qualitative,foreign_worker,Whether the debtor is a foreign worker,Binary,audit only nominal,no,binary audit attribute,retain raw categories for audit only,retain raw categories for audit only,no_predictive_change,Direct audit attribute remains excluded from prediction.
